Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Console Mode,,,2019-04-03 20:59:00,2019-04-03 20:59:09,8.206s,PASSED
,,,,,,
Test Cases/RESTHTTPMethodsTest,,"some methods been shown here, 
How to handle GET API request
How to handle POST API request
How to handle PUT API request 
How to handle DELETE API request
you can alway find some more about it from 
https://spring.io/understanding/REST
https://reqres.in/",2019-04-03 20:59:01,2019-04-03 20:59:09,7.789s,PASSED
"sendRequestAndVerify(findTestObject(""RESTWebServiceRequest/ListUsers""))",,,2019-04-03 20:59:01,2019-04-03 20:59:06,4.750s,PASSED
"sendRequestAndVerify(findTestObject(""RESTWebServiceRequest/DeleteUsers""))",,,2019-04-03 20:59:06,2019-04-03 20:59:07,0.830s,PASSED
"sendRequestAndVerify(findTestObject(""RESTWebServiceRequest/CreateUsers""))",,,2019-04-03 20:59:07,2019-04-03 20:59:08,1.005s,PASSED
"sendRequestAndVerify(findTestObject(""RESTWebServiceRequest/UpdateUsers""))",,,2019-04-03 20:59:08,2019-04-03 20:59:09,0.637s,PASSED
